"user_id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14"
143,"6","1","0","1","0","1","4","9","0|1","<freeform-text removed>","0|1|3|4|5|6","0|2|7","0","<freeform-text removed>"
151,"4","0","0","1","0","1","4","7","0","4","2|6","0|4|7|9","1",""
156,"2","1","3","1","0","1","4","8","0|1","0","3|5|6","1|3|7|8|10","3|5",""
177,"6","1","0|1","1","0","1","4","10","0|1","7","0|5|6","0|2|8","0|1|5",""
190,"5","1","0","1","0","1","3","10","0|1|3","1","1|2|5|6","0|1|2|3|5","1",""
191,"6","1","0","1","0","1","2","10","0|3","4","0|4|5|6","0|1|2|4|10","0|1|5","<freeform-text removed>"
230,"5","1","0|1|3","1","0","1","6","9","0|1|2|3|<freeform-text removed>","0","0|1|2|3|4|5|6","0|6|7|8|9","0|1","<freeform-text removed>"
234,"4","0","","","0","5","0","6","0","4","4","0|2|8","0|2","<freeform-text removed>"
237,"5","1","0","1","0","1","5","10","0|3","1","4|5|6","0|1|3|8|9","0|1",""
241,"6","0","","0","0","2","2","8","0|2","7","5|6","2|8|9","0|1",""
247,"0","0","","0","0","2","3","8","0|1","7","1|3|4|5|6","0|2|3|5|6|7|8|9","1","<freeform-text removed>"
249,"6","1","","1","1","2","6","8","0|1","4","0|3|6","0|2|5|6|7","2|3",""
253,"4","1","3","1","0","1","2","9","0|2","1","2|3","0|1|2|3|5|6","0",""
265,"5","1","3","1","0","3","2","7","0|1","0","1|3|6","0|2|<freeform-text removed>","0",""
267,"6","1","0|1|3","1","0","2","3","9","0|1|3","1","0|3|4|6","0|2|5|6|9","0|1","<freeform-text removed>"
275,"5","1","0","2","0","1","3","8","0|1|2|3","1","1|2|3|4|5|6","0|1|2|3|5|6|7|8|9|10|12","0|1|2|5",""
279,"6","1","1|3","1","1","5","4","7","0|1","7","1|4","0|2|3|6|8","1","<freeform-text removed>"
288,"6","1","0","1","0","2","2","8","0|1","7","1|3|4|6","0|2|6|8","0|1|4",""
295,"0","1","3","1","0","1","5","10","0|1|2|3","7","1|2|3|4|5|6","0|1|3|6|7|8","4|5","<freeform-text removed>"
302,"4","1","0|3","1","0","1","3","5","0|2","7","2|3|4|5|6","0|1|2|3|4|7|9","0|1|5",""
307,"3","1","0","1","0","0","2","8","0|2|3","1","3|4|5|6","","1","<freeform-text removed>"
311,"4","1","0","1","0","0","0","8","0","7","0|3|4|5|6","0|3|7|9","0",""
317,"6","1","0","1","0","4","2","10","0|1","7","0|4|6","0|2|6|9","0|1|2|3",""
320,"4","1","3","5","0","2","2","5","0|3","4","3|5|6","0|2|3|6|8","1|4",""
321,"6","1","0|3","1","0","1","5","6","0","7","1|4|5|6","0|1|3|5","0|1","<freeform-text removed>"
327,"6","1","0","1","0","2","3","10","0","0","0|4|6","2|5","1|3",""
328,"4","1","3","1","0","0","0","5","0|3","4","2|3|4|5|6","0|1|3|7|8","0|2|3|4|5","<freeform-text removed>"
332,"4","1","3|<freeform-text removed>","1","0","1","4","7","0|1|3","<freeform-text removed>","0|1|4|5|6","0|3|6|8|10","2","<freeform-text removed>"
335,"3","0","","1","0","1","1","6","0","","3|4|6","0|1|2|5","2|3",""
352,"5","1","0|1","1","0","1","2","8","0|1|2|3","2","1|2|4","0|3|8|9","0|2|5",""
355,"6","0","","0","0","0","3","10","0|2|3","0","0|2|4|5|6","0|3|7|9|12","1|5",""
357,"5","0","","1","0","1","3","4","0|2","0","2|3|4|5|6","2|3|4|6|7|11","0|1|5","<freeform-text removed>"
369,"6","0","3","1","0","1","3","8","0|1|3","0","3|4|5|6","0|1|3|5|6|7|8|9|10","0|2|4|5","<freeform-text removed>"
388,"6","0","","5","0","3","2","9","0|1","7","0|1|3|4","0|1|2|3|5|8|9","0",""
401,"3","1","3","1","0","3","1","10","0|1","1","1|6","0|4|7|9","0|1",""
430,"2","1","1|3","1","0","2","2","5","0|1","7","0|4","2|3","0|5","<freeform-text removed>"
433,"2","1","3","1","0","2","3","7","0","7","4|5|6","0|1|3|5","5",""
440,"6","0","3","1","0","0","3","8","0|2","0|3","2|3|4|5","1|3|4|8|<freeform-text removed>","0|1|3|5",""
448,"2","1","3","1","0","5","3","6","0","7","5|6","4|6","<freeform-text removed>","<freeform-text removed>"
453,"6","","0|2","1","1","3","5","5","0","7","3|4|5|6","0|2|5|6|7|8|9","0|1","<freeform-text removed>"
458,"6","1","0|3","1","0","2","4","10","0|1|2|3","1","0|2|4|5","0|2|3|7|8","0|2",""
464,"2","1","2","1","0","1","2","6","0","7","3|4|5|6","0|3|7","0","<freeform-text removed>"
466,"6","1","0|1|2|3|<freeform-text removed>","1","0","1","2","8","0","7","3|4|5|6","0|2|3|7|12","1|2|5","<freeform-text removed>"
469,"5","1","0|2","2","0","1","5","8","0","1","3|4|5|6","0|1|3|7","1",""
473,"0","1","0","2","1","2","6","6","0|1|2|3","0","0|1|2|3|4|5|6","0|3|5|6|8|9","0",""
476,"6","0","","","0","2","5","10","0|1","0","0|1|3|4|5|6","0|2|6|8","0|1","<freeform-text removed>"
484,"5","1","2","1","0","1","2","10","0","4","6","0|3|7|8","0|2",""
488,"6","0","","","0","1","5","9","0|2","4","0|2|3|4|5|6","0|1|2|3|4|5","0|2",""
490,"6","0","","0","0","4","2","7","0","4","6","2|3|9","0",""
491,"5","1","3","0","0","5","1","6","0","7","0|2|4|6","3|5|7","0|3",""
496,"6","1","0|1|2","1","0","1","6","10","0|1","0","1|3|4|5|6","0|1|2|3|4|5|6|7|8|9|10|11|12","1|5",""
509,"5","1","0","1","0","1","4","9","0|1","7","0|1|2|4|6","0|1|2|8","0|1",""
512,"6","1","2|3","1","0","2","2","10","0|1|3","2","0|1|3|4|5|6","0|1|2|3|5|8","0|1",""
542,"6","0","","0","0","0","2","8","0","","","","",""
546,"6","1","3","1","0","4","2","10","0|1|3","0","1|3|4|5|6","0|6|7|9","0",""
565,"6","1","0|2","2","0","3","6","7","0|1","7","1|3|5","0|5|7|8","0|1","<freeform-text removed>"
570,"","","","","","","","","","","","","",""
581,"0","0","3","0","0","1","2","8","0|1","6","1|4","0|7","4","<freeform-text removed>"
590,"4","1","3","1","0","1","3","8","0|1","2","0|4","3|8","0",""
605,"5","1","0|2|3","1","0","2","4","9","0|1","7","0|4|6","0|1|5|9|10","1",""
616,"4","1","3","1","0","3","5","8","0|1","7","1|4|6","0|2|3|6|7|8|9","0|1","<freeform-text removed>"
645,"3","1","1|2|3","1","0","4","5","10","0|1","7","0|3|4|5|6","0|2|5|6|7|9","0|3|4",""
646,"6","1","0|3","2","0","1","2","9","0|1","2","1|2|3|4|5","3|5|6|8","0|3|5",""
648,"6","1","0|2|3","1","0","1","2","10","0|1|2|3","1","1|2|4|6","0|2|8|9","0|1","<freeform-text removed>"
651,"4","1","0|3","1","0","2","4","9","0|1|3","0","0|1|4|5|6|<freeform-text removed>","0|2|3|4|8|12","0|1|5","<freeform-text removed>"
652,"5","0","","0","0","1","4","9","0|1|3|<freeform-text removed>","0","0|4|5|6","0|3|5|8","2","<freeform-text removed>"
690,"5","1","0|2|3","1","0","3","3","","0|1|3","2","0|1|2|3|4|5|6","0|1|2|3|6|8|9|10|<freeform-text removed>","0|1","<freeform-text removed>"
705,"6","1","0|3","1","0","5","4","6","0","7","0","9|11","0|1",""
706,"4","1","0","1","1","0","2","7","0","7","3","2|3|4|5|7","3|5",""
723,"6","1","0|3","1","0","1","3","9","0|1","4","0|1|2|3|4|5|6","0|1|2|3|4|6|7","0|1|2|3",""
728,"2","1","0|2","2","1","5","3","7","0","7","6","6|8","2|5",""
739,"2","1","0","1","0","1","4","7","0|2","7","2|4|6","0|2|4|5|6|7|8","0|1",""
747,"3","0","","0","0","1","2","9","0|2|3","4","2|3|4|6","0|3","3|4|5","<freeform-text removed>"
751,"5","0","2|3","1","0","0","2","9","0","4","6","0|1|3|4|7|9","0|1|2|3|4|5",""
755,"4","1","3","1","0","3","1","8","0","7","4|6","0|1|2|6","0|2","<freeform-text removed>"
757,"6","1","0","2","0","1","5","9","0|1","0","0|3|4|5|6","0|1|2|3|5|6|7|8|10","1|3",""
762,"5","0","","0","0","1","3","7","0|2","7","2|3|4|5|6","3|7|8|9","0|1",""
777,"6","1","<freeform-text removed>","1","0","1","6","8","0|1|3","0|2|6","0|1|2|3|4|5|6","0|1|2|3|5|6|9","0|1|2|5","<freeform-text removed>"
779,"5","0","","1","1","1","5","6","0|3","7","4|5|6","1","5","<freeform-text removed>"
789,"4","1","0","2","0","1","4","9","0","7","2|4|5","0|1|3|7|10","2",""
793,"2","1","0|2","2","0","1","4","7","0|1|2|3","4","1|2|3|4|5|6","0|2|3|4|5|6|7|8","0|1|2|5",""
794,"0","1","0|3","5","0","5","6","8","0","7","3|4|5|6","0|1|2|3|5|6|8","0|2|4",""
798,"0","0","","1","1","0","5","6","0|2|3","6","4|5|6","1|3|5","1|5","<freeform-text removed>"
817,"6","0","","0","0","4","2","7","0","7","0","0|2|8|10","0","<freeform-text removed>"
819,"5","1","0|3","1","0","2","2","10","0|1|3","0","1|4|6","0|2|4|5|6|8|9|12","0|1",""
822,"4","1","0|1|2|3","5","0","3","6","9","1","1","1","0|3","0",""
829,"6","0","","0","0","2","3","10","0|1","4","0|3|5","0|2|8","0",""
837,"3","0","","0","","0","4","10","0","","","","",""
848,"6","1","3","1","0","2","4","8","0|1|3","1","0|1|4|6","0|2|3|6|8","0|1|3",""
850,"6","1","0|1","1","0","2","2","4","0","7","2|3|4|5|6","0|2|5|6|8","0|1|4","<freeform-text removed>"
859,"6","1","1|3","1","0","2","3","8","0|1|3","0","1|4|5|6","0|2|6|7|8|9","0|1|3",""
863,"5","1","0|1|3","1","0","2","6","10","0|1|3","6","0|1|3|4","0|1|2|3|6|7|8","0|2|3","<freeform-text removed>"
867,"6","1","0","2","0","1","5","10","0","0","6","1|3|8","3","<freeform-text removed>"
869,"6","1","0|1|3","1","0","1","5","10","0|1|2","7","0|1|2|4|5|6","0|1|3|9","0|1|3|5","<freeform-text removed>"
874,"5","1","2|3","1","0","1","","10","0|1","7","","0|1|5|6|7|8|9|10","1",""
876,"5","1","3","1","0","5","2","6","0","7","4|6|<freeform-text removed>","5|6|8|9|<freeform-text removed>","2|<freeform-text removed>","<freeform-text removed>"
879,"5","1","3","1","0","0","4","9","0|2|3","0","2|3|4","0|1|2|9","<freeform-text removed>","<freeform-text removed>"
882,"6","1","3","1","0","3","4","10","0|1|3","6","1|3|4|5|6","0|2|3|6|9","1|5","<freeform-text removed>"
884,"6","1","2|3","1","0","2","1","9","0|1|3","1","1|6|<freeform-text removed>","2|6|8|9|10|<freeform-text removed>","1","<freeform-text removed>"
898,"4","0","0|3","1","0","1","3","9","0|1|2|3","6","0|1|2|3|4|5|6","0|2|3|4|5|6|7|8|9|10|12","0|1|2",""
899,"5","0","","0","0","1","4","8","0|1|2|3","1","1|2|4|5|6","0|1|2|3|6","0|1|2|5",""
906,"3","1","0|3","2","1","1","2","9","0|2|3","7","2|3|4|5|6","0|1|3|5|6|7|8","0","<freeform-text removed>"
909,"6","0","3","","0","3","2","9","0|1","<freeform-text removed>","0|1|3|4","0|2","0|1",""
918,"6","1","3","1","0","2","1","10","0|1","7","0|4|6","0|2|3|6|8|9","0|1","<freeform-text removed>"
920,"6","1","2|<freeform-text removed>","1","0","2","5","8","0|1|3","3","1|3|4","2|6|9","0|1|2|3","<freeform-text removed>"
925,"6","0","3","0","0","2","1","6","0","<freeform-text removed>","0|3|4|6","0|1|2|7|8|10","3|5",""
933,"6","1","0|3","2","0","3","5","9","0|1|3","1","1|3|4|5|6","2|3|5|8|9","0|1",""
938,"5","1","2|3","1","0","3","3","3","0|1|3","6","1|3|4|5|6","0|2|3|6|7|8|10|12","0|1","<freeform-text removed>"
947,"5","1","3","1","0","1","3","8","1","<freeform-text removed>","4|5|6","1|2|3|5|7|8|10","5","<freeform-text removed>"
950,"4","1","0|3","5","0","1","2","8","0|1","1","2|4|5|6","0|1|2|3","0|1",""
952,"6","1","0|1|2|3|<freeform-text removed>","5","0","1","5","8","0|1","0","0|1|4|5|6","0|1|2|7|8|9|12","1|3|5","<freeform-text removed>"
953,"3","0","","1","0","1","3","6","0|1|3","1","0|2|3|4|5|6","0|3|7|8|9|10","1|3|5",""
955,"5","1","0|3","1","0","1","4","6","0|1|2|3","4","2|3|4|6","0|2|3|7|10","0|3|5","<freeform-text removed>"
968,"5","1","1|2","3","0","2","2","9","0|1","4","1|4|6","0|1|6|8|9","1|2",""
971,"6","1","0|1","1","0","1","4","9","0|1|3","0","1|3|4|5|6","2|3|6|8|12|<freeform-text removed>","0|1|3","<freeform-text removed>"
979,"4","1","3","1","0","1","1","8","0|2","2","1|2|6","0|1|2|7","1",""
984,"6","1","1|2","1","0","1","4","6","0","7","3|4|5|6","0|3|4","<freeform-text removed>",""
986,"6","1","0|3","1","0","3","2","9","0|1|3","1|6","1|3|4|5|6","2|3|9","0|1|2|3",""
1003,"6","1","0|3","1","0","1","4","9","0|1","7","0|1|6","0|1|2|10","0|1|2|3|4",""
1012,"4","1","0","1","0","0","2","3","0","6","2|6","0|1|2|3|7|9","0",""
1029,"5","1","0|1","1","0","1","6","10","0|1|3","0","0|3|4|5|6","0|1|2|6|7|8|9|10","0|1|3|5",""
1035,"5","1","1|3","1","0","4","2","8","0|1|3","2","1|3|4|5|6","0|5|6|8|9","0|1",""
1038,"0","1","3","1","0","5","1","6","0","7","3","","2|4",""
1040,"0","1","3","1","1","4","1","5","0","7","1|4|<freeform-text removed>","0|6|7|8","<freeform-text removed>","<freeform-text removed>"
1042,"5","0","","0","0","1","3","7","0|1|2|3","7","2|4|5|6","2|3|5|6|7|10","0|1|5",""
1060,"5","1","0|2|3","1","0","4","1","8","0","1","6","2|5|8","1|3",""
1064,"0","1","3","1","0","4","1","5","0|1|3","7","1|3|6","0","0|3","<freeform-text removed>"
1068,"4","1","3","1","0","5","2","8","0","6","3|4|5|6","0|2|5","0|2|4",""
1072,"5","1","1","3","0","1","2","10","0|1","7","0|1|2|4|5|6","0|2|3","0|1",""
1091,"6","1","<freeform-text removed>","1","0","2","4","9","0|1|3","1","0|1|3|4|6","0|1|2|8|9|10|12","0|1|3",""
1092,"5","0","","0","0","3","6","8","0","7","4","3","0",""
1094,"6","0","","0","0","5","4","6","0|1","7","0|1|4","0|<freeform-text removed>","0|2",""
1095,"3","0","","0","0","0","4","7","0|2","7","2|4|6","9|<freeform-text removed>","3","<freeform-text removed>"
1096,"6","1","0|1|3","1","0","2","6","10","0|1","7","0|3|5|6","1|3|9|10","0|1|5","<freeform-text removed>"
1099,"5","1","0","1","0","3","3","9","0|1|3","1","1|4|5","3|6|7","0",""
1104,"6","0","","0","0","2","2","9","0|1","","0|1|2","0|2|8","0",""
1111,"6","1","1|3|<freeform-text removed>","1","0","3","4","9","0|1|3","0|4","1|3|4|5","0|2|3|9","0|1|2","<freeform-text removed>"
1114,"3","0","3","0","0","5","2","8","0","7","0","7","5","<freeform-text removed>"
1119,"6","1","1","1","0","1","6","10","0|1|2","4","0|2","0|1","1",""
1124,"6","1","0|1|2","1","0","2","4","9","0|1|3","3","1|3|4|5|6","0|2|3|8|9","1|5",""
1132,"6","1","0|1","1","0","4","1","5","0|1","7","1|3|6","7|9|<freeform-text removed>","0|2|3",""
1135,"5","0","","0","0","1","3","8","0|3","7","1|3|4|5|6","0|1|2|3|7|9|10","1|4",""
1136,"4","0","","1","0","1","2","8","0","7","1|2|3|4|5|6","0|1|2|7|8|9|12","1",""
1137,"6","1","0|3","1","0","2","5","8","0|1|3","1|2","0|3|4","0|2|3|5|6","0|1|3|5",""
1138,"5","1","3","1","0","2","3","8","0|1","7","0|1|3|4|6","0|1|2|6|8|9","0|1|2|3",""
1145,"6","0","","0","0","1","6","7","0|2|3","7","2|4|5|6","0|1|3|7","3|4","<freeform-text removed>"
1148,"5","0","","1","0","0","1","8","0|2|3","4|<freeform-text removed>","5|6","1|3|4|7","0",""
1149,"0","1","0|3","1","0","5","1","8","0|1","7","1","0|2|8","0",""
1157,"5","1","0|2|3","1","0","1","4","8","0","","2|3|4|5|6","0|1|2|7|8|9","0|1|2|4","<freeform-text removed>"
1158,"6","1","0|3","1","0","1","1","10","0|1","7","1|4|6","0|1|5|6|7|8|9|10","0|1|2","<freeform-text removed>"
1160,"0","1","1","1","0","3","5","9","0|1|3","0","1|3|4|5|6","2|3|5|6|<freeform-text removed>","1|<freeform-text removed>","<freeform-text removed>"
1169,"4","1","3","1","0","3","2","9","0|1|3","4","0|1|3|4|5|6","0|1|2|7|8|9","0|1",""
1170,"0","0","3","1","0","1","1","8","0|1|2|3","4","2|3|6","0|1|7|8|10","",""
1180,"4","1","0","1","0","0","1","8","0|2","7","2|3|4|5|6","0|1|3|4|7|8","3",""
1183,"6","0","","","0","2","3","10","0|1","7","0|2|3|4|5|6","0|1|2|3|5|6|7|8|9","0|1",""
1184,"0","1","3","5","0","0","1","9","0","0","6","0","0",""
1198,"4","0","","0","0","0","2","7","0|2|3","7","2","0|1","0",""
1206,"5","1","3","1","0","1","3","9","0","7","6","7","0",""
1210,"5","1","0|1|2|3","1","0","2","5","10","0|1|3","1","0|1|3|4|5","0|1|2|5|9|10","1|5",""
1214,"6","1","0","1","0","2","5","10","0|1|3","7","0|3|4|5|6","0|2|3|9|11|12","0|1","<freeform-text removed>"
1233,"6","1","1|3","1","0","5","2","10","0|1|3","0","0|1|3|6","0|1|2|6","1",""
1234,"6","1","0|1|2|3","1","0","3","4","9","0|1|3","0","0|1|3|4|5|6","0|2|3|5|8","0|1|3","<freeform-text removed>"
1237,"5","0","","0","0","5","5","","","7","6","","4",""
1247,"5","1","0|1|2|3","1","0","3","3","9","0|1","7","0|1|6","0","0|1|3",""
1248,"6","1","0|2|3|<freeform-text removed>","1","0","2","3","9","0|1","7","0|1|4|<freeform-text removed>","0|2|8","1","<freeform-text removed>"
1249,"6","0","","0","0","1","1","8","0","7","3|4|5|6","0|2|3|7|10","0",""
1264,"5","1","0|3","1","0","2","2","9","0|1","2","1|3|4","0|2|3|5|6|7|8|9|12","0|1|3|5",""
1268,"4","0","3","1","0","3","3","","0|1|3","2|4","4","2|9","",""
1270,"5","1","0|2|3","1","0","3","3","9","0|1","7","1|4|<freeform-text removed>","0|2|5|8","0|1",""
1280,"6","1","3","1","0","2","3","10","0|1","4","1|4|5|6","1|2|6|8|9","0|1",""
1286,"6","1","0|3","1","0","2","5","10","0|1|3","0","0|1|3|4|5|6","0|1|2|5|6|7|8|9","0|1|5","<freeform-text removed>"
1288,"5","1","1","1","0","1","2","8","0|1|2","1","2|4|5|6","0|1|2|3|5|6|8|9","1|3",""
1289,"4","1","0|1|2|3","1","0","0","1","6","0","7","2","0|1|2|7|8|9|12","<freeform-text removed>",""
1292,"5","1","1","1","0","2","3","9","0|1","6","0|1|4","0|8|12","0|1",""
1294,"6","1","3|<freeform-text removed>","1","0","2","4","8","0|1|3","3","0|1|3|4|5|6","0|1|2|3|5|6|8|9","0|1|3|5",""
1300,"6","1","0|1","1","0","3","3","9","0|1","0","1|5|6","0|2|8|9","0",""
1323,"5","0","","1","0","1","2","8","0","","6","1|3|8","0",""
1328,"5","1","0|2|3","1","0","3","2","7","1","4","0|1|3|4","0|7|8|9","0|1",""
1330,"4","1","0|3","1","0","2","5","8","0","7","1","0|2|<freeform-text removed>","0|1|2","<freeform-text removed>"
1332,"4","0","","0","0","2","3","8","0|1","7","0|1","0|5|6|9","0|1|2",""
1333,"4","0","0","0","0","2","2","9","0|1","6","0|1|4|6","0|1|3|4|6|7|8|9","1|2|3",""
1334,"2","0","0|2","1","0","1","3","5","0","7","6","4","2","<freeform-text removed>"
1343,"6","1","0|3","1","0","1","6","9","0|1|2","7","1|2|3|4|5|6","0|1|2|3|5|6|7|8|9|10|12","0|1|5","<freeform-text removed>"
1345,"4","1","3","1","0","3","3","8","0|1","7","4|5|6","0|1|2|3|6|8","0|2|4|5","<freeform-text removed>"
1347,"6","1","<freeform-text removed>","1","0","2","2","7","0|1","7","1|2|4|5|6","2|3","1","<freeform-text removed>"
1353,"6","0","0|1|2|3","1","0","2","2","8","0|1|3","2","1|3|4|5|6","0|1|2|3|5|6|7|8|11","1|2|3|5",""
1358,"5","1","0|2|3","1","0","2","4","8","1|2","1|2","0|1|2|3|4|5|6","0|1|2|3|8|12","0|1|5","<freeform-text removed>"
1371,"3","1","0|1|2","1","0","2","1","6","0","7","4|5|6","1|2|6|9|12","0",""
1389,"6","1","2|<freeform-text removed>","4","0","2","2","9","0|1","4","0|1|6","3|9","1",""
1391,"2","0","<freeform-text removed>","1","0","2","3","2","0","","3","1|2|4|9","0|1","<freeform-text removed>"
1394,"6","1","<freeform-text removed>","1","0","3","2","10","0|1|3","2","0|1|3|4|6","0|2|6|7|8","0|1|2",""
1401,"6","1","<freeform-text removed>","1","0","4","3","8","0|1","7","0|1|2|3|4|5|6","0|2|6|7|8","0","<freeform-text removed>"
1417,"5","0","","0","0","1","3","9","0|1|2|3","0","0|1|2|3|4|5|6","0|1|3|7|8","0|3",""
1426,"0","0","3","1","0","5","1","2","0","7","6","2|7|<freeform-text removed>","2","<freeform-text removed>"
1429,"4","1","1|2|3|<freeform-text removed>","1","0","0","1","8","0|3|<freeform-text removed>","0|2","2|4|5|6","0|3|4|5|7|8","1|2|3|4|5","<freeform-text removed>"
1436,"","","","","","","","","","","","","",""
1438,"2","1","0|3","1","1","2","6","7","0","7","3|4|5","3","3|5",""
1443,"0","1","0|3","5","0","1","2","8","0|2","7","1|2|4|6","0|2|7|8","0|1|2|<freeform-text removed>",""
1450,"4","1","0|3","1","0","4","2","7","1","0","1","0|2","0","<freeform-text removed>"
1459,"4","0","3","0","0","2","0","6","0","4","0","2","0",""
1461,"6","1","1","1","0","2","3","7","0|1|3","0","1|3|4|5|6","0|3|5|6|7|12","0|1",""
1465,"5","1","0","1","0","1","1","6","0|1|2|3","1","2|3|4|5|6","0|1|3|6|7|12","1|5","<freeform-text removed>"
1474,"6","1","3","1","0","1","6","9","0|1|3","2","0|4|5|6","0|2|3|5|6|7|9","0|1|3","<freeform-text removed>"
1478,"5","0","","0","0","0","2","9","0","<freeform-text removed>","4|5","2|3|7","5|<freeform-text removed>",""
1490,"6","0","","","0","5","6","6","0|1","6","1|4","0|2|6|8","0","<freeform-text removed>"
1491,"5","1","0|2|3","1","0","1","6","8","0|1|3","2|<freeform-text removed>","2|4|5|6","1|2|3|4|6|8|9","0|1|5","<freeform-text removed>"
1498,"5","1","0|3","1","0","3","2","8","0|1","6","1|3|4","0|2|5|6|8|12","0",""
1504,"1","1","3","1","1","2","2","8","0","7","2|3|6","1|4|6|7|8|10","5",""
1511,"5","0","","1","0","1","3","9","0|3","4","0|1|3|4|5","0|2|3|4|6|7|8|10","1","<freeform-text removed>"
1512,"4","1","3","1","0","1","5","8","0|1","1","1|2|4|5|6","","0|1|3",""
1515,"3","0","","0","0","0","6","4","0","7","2|5|6|<freeform-text removed>","0|1|3|8|9|10","2|5","<freeform-text removed>"
1522,"6","0","","1","0","1","4","8","0","0","1|4|5","1|3","1",""
1523,"0","1","0|3","1","0","1","4","8","0|2|3","7","2|3|4|5|6","0|3|4|5|7|8|9|12","0|1|3|4|5","<freeform-text removed>"
1532,"0","1","0","2","0","5","2","5","0|1|3","1","1|4","0|2|5|12","0|2","<freeform-text removed>"
1534,"6","1","0|1|3","1","0","1","5","7","0|1","7","1|2|3|4|5|6","0|2|6|7|8|9|12","0|1","<freeform-text removed>"
1547,"6","1","0|1|2|3","1","0","0","4","10","0|2","7","0|2|4","0|1|3|4|7","3|5","<freeform-text removed>"
1552,"6","1","3","1","0","2","4","10","0|1|3","6","0|1|4|5|6","0|1|2|3|4|5|6|8|12","0|1|3|5","<freeform-text removed>"
1554,"5","1","0|1|3","2","0","2","5","10","0|1|3","7","0|1|5|6","0|2|3|4|6|7|8|9","0|1|5",""
1555,"4","0","","0","0","0","4","8","0|2|3","0","2|4|5|6","0|1|3|7","0|1","<freeform-text removed>"
1558,"3","1","0|3","1","0","1","2","7","0|1|2","7","1|2|3|4|5|6","0|1|2|4|7|9|10","1|3",""
1580,"5","0","0","1","0","1","3","3","0|3|<freeform-text removed>","7","3|5|6|<freeform-text removed>","0|1|3|4|5|8|9|12|<freeform-text removed>","3","<freeform-text removed>"
1584,"5","1","3","1","0","5","1","8","0","7","6","1|7|10","0",""
1621,"5","0","","","0","0","3","8","0|2|3","0","2|4|6","1|4|8","0",""
1623,"5","0","3","0","0","1","3","8","0|1","7","4|5|6","0|1|3|8","2|3","<freeform-text removed>"
1624,"6","1","0","2","0","2","6","10","0|1|3","0","1|3|4|5|6","0|2|3|6|7|12","1|5",""
1629,"1","0","0|3","5","1","1","","4","0","6","3|4|6","1|2|4|5|6|7|8|10|12","0|1|4",""
1630,"5","1","0|2|3","1","0","1","4","9","0|1|3|<freeform-text removed>","0|2|4","0|1|4|5|6","0|1|2|3|5|6|7|8|9","0|1|3",""
1638,"5","1","0|1","1","0","2","3","7","0|1|2|3","0","4|5|6","0|2|3|8","0|3",""
1642,"5","0","","1","0","1","2","9","0|1|3","4","0|3|6","2","0",""
1649,"3","1","0|3","1","0","5","3","5","0","7","1|3","2|3|6|8|9","0|1","<freeform-text removed>"
1653,"6","0","","0","0","2","6","7","0|1|3","0","1|3|4|5|6","0|2|7|8|9","1|5","<freeform-text removed>"
1664,"5","1","0|3","1","0","1","6","10","0|1|2|3","4","0|1|3|4|5|6","0|1|2|3|5|6|7|8|9","0|1|3|4|5","<freeform-text removed>"
1668,"4","1","0|2","1","0","1","3","8","0|1","4","3|4|5|6","0|1|2|3|5|7","0|1",""
